"taxon","diff_VMNI.durante.el.ingresoNo","diff_VMNI.durante.el.ingresoSí","p_VMNI.durante.el.ingresoNo","p_VMNI.durante.el.ingresoSí","q_VMNI.durante.el.ingresoNo","q_VMNI.durante.el.ingresoSí","lfc_VMNI.durante.el.ingresoNo","lfc_VMNI.durante.el.ingresoSí"
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Clostridium_methylpentosum_group|Clostridium_methylpentosum_group",FALSE,TRUE,0.821737297683844,0.000493078380790354,0.871919728076751,0.00326370928237425,-0.0491699512823104,-1.73295286389348
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Eubacterium_coprostanoligenes_group|Eubacterium_coprostanoligenes_group",FALSE,FALSE,0.491965760806291,0.610783232094309,0.656080779587278,0.722033441803385,0.168073769644115,-0.262636176157162
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae",FALSE,FALSE,0.326802249998328,0.530752998475839,0.478163292102817,0.683098766556866,-0.243244403318928,-0.320676846085839
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Flavonifractor",FALSE,TRUE,0.170631574847189,0.0118817190591223,0.292812208688387,0.0333285323163675,0.329221519310611,-1.1861411785676
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Intestinimonas",FALSE,FALSE,0.248867866824783,0.254710882916085,0.393098107825509,0.421485865777808,-0.244696400092752,-0.548739805969487
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|NK4A214_group",FALSE,TRUE,0.667321986583024,3.51351471281486e-05,0.779476942311264,0.000588892998052886,0.0909223982638082,1.97105124785898
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Oscillibacter",FALSE,FALSE,0.754382298851498,0.235926491377818,0.832215393177446,0.399924174408741,-0.0743925958235102,0.619120198264825
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-002",FALSE,TRUE,0.520140037746543,0.000387676750101226,0.669439493025644,0.00299372601467058,-0.136111515243239,-1.88642097403078
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-005",TRUE,FALSE,3.06091357568729e-05,0.0900344439890247,0.000236370548344741,0.181373734992383,1.05898797454747,-0.782774756313372
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae",FALSE,FALSE,0.565543143130725,0.909386930255815,0.714640880865189,0.972344486965833,-0.15223939999454,0.0489490536389194
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerofilum",FALSE,FALSE,0.0729474860055065,0.0234605287810703,0.155995393150237,0.0627117980878609,0.361355172466609,-1.04531599763098
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerotruncus",FALSE,FALSE,0.157816097836776,0.088368041428579,0.274205469991398,0.180634672920184,0.311393115880874,0.852070055924628
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|DTU089",TRUE,TRUE,0.00271148571003643,0.00021840073314623,0.00942241284237659,0.00207680228829552,-0.721267979191058,-1.81805543107283
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Faecalibacterium",FALSE,FALSE,0.653212213639687,0.206754574462943,0.779476942311264,0.354801059880853,0.118069346266044,0.707406308975968
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Incertae_Sedis",TRUE,FALSE,0.0107744132813578,0.710378396102947,0.0299528689221748,0.816054521143055,0.66239854070867,0.190316891817083
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Negativibacillus",TRUE,TRUE,0.00110602643642224,0.00886831394453077,0.00444514792137313,0.0273932364064395,0.798489621757755,1.31284972757011
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Paludicola",TRUE,FALSE,0.000496471237815366,0.416036357122946,0.0023003167352112,0.590092384082545,0.844304730143672,0.405648647371168
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus",TRUE,TRUE,0.00936688096274774,0.00160973057954287,0.0289332545293763,0.00745841835188195,0.665575916074002,-1.67579277517211
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Subdoligranulum",FALSE,FALSE,0.690252886577931,0.165153156365828,0.791678098359158,0.29431139403654,0.11403415123505,1.03970649717975
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|UBA1819",FALSE,TRUE,0.0981046666342934,0.000580543868556865,0.200537480325982,0.00366798171497292,-0.518092939302286,-1.73997378768194
"Bacteria|Firmicutes|Clostridia|Oscillospirales|UCG-010|UCG-010",FALSE,FALSE,0.763750036880204,0.0985896438433122,0.835915394695657,0.19033278464195,-0.0633561244547762,0.754377763364441
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_brachy_group",FALSE,FALSE,0.58666525812838,0.841157679739538,0.728093489998614,0.927943789553935,0.111947341420937,0.0935735118268567
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_nodatum_group",TRUE,TRUE,9.99191944331591e-05,3.81297624638559e-05,0.000642776715334107,0.000588892998052886,0.963098584989431,-2.27869462669393
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Family_XIII_AD3011_group",FALSE,TRUE,0.28730303709297,0.00136173531142169,0.424841725063008,0.00652693821681433,-0.235528060183684,-1.63558707051103
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Anaerococcus",TRUE,TRUE,1.41593831967987e-06,0.00642806134934947,1.64012855362918e-05,0.0223375131889894,-1.22360456004911,-1.34435657990369
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Finegoldia",FALSE,FALSE,0.265933415956873,0.662109214957822,0.406205987011047,0.766943173992811,0.230147118093589,-0.200347952068042
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Parvimonas",FALSE,FALSE,0.253114108477547,0.403400802949636,0.395313045824483,0.590092384082545,0.262073682151034,-0.386380456098834
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae",TRUE,FALSE,1.81081941636572e-07,0.0973621452196625,3.14629873593543e-06,0.19033278464195,-1.40432261778699,-0.823034265832936
