"taxon","diff_SexoHombre","diff_SexoMujer","p_SexoHombre","p_SexoMujer","q_SexoHombre","q_SexoMujer","lfc_SexoHombre","lfc_SexoMujer"
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Sellimonas",FALSE,FALSE,0.846434348568571,0.851554415147585,0.926412397252216,0.88997040380086,0.0921095602780545,0.0924736024075296
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Tuzzerella",FALSE,TRUE,0.0227448479910177,1.1202338216957e-05,0.0771105822134502,0.000155712501215702,-0.951002832658311,-2.16206279619642
"Bacteria|Firmicutes|Clostridia|Monoglobales|Monoglobaceae|Monoglobus",TRUE,TRUE,6.84110499432414e-07,0.00499585007899275,1.90182718842211e-05,0.0198406617422855,-2.47970420394205,-1.29932152278356
"Bacteria|Firmicutes|Clostridia|Oscillospirales",FALSE,FALSE,0.085059980105676,0.022549318728871,0.184739644292015,0.0652990688190221,0.6956877738364,1.00111641775664
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Butyricicoccaceae|Butyricicoccus",FALSE,FALSE,0.197145246289543,0.628492938751493,0.334742820046139,0.746671098174851,-0.524217692103929,0.206849069508313
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Clostridium_methylpentosum_group|Clostridium_methylpentosum_group",TRUE,TRUE,0.000131242525585255,8.82078420040793e-06,0.00113638282575281,0.000155712501215702,1.6100918489099,2.10559410489859
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Eubacterium_coprostanoligenes_group|Eubacterium_coprostanoligenes_group",FALSE,TRUE,0.0189928382768395,0.000648252065158397,0.0694738031705446,0.00416561377834247,-0.935095714023365,-1.52117698840747
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae",FALSE,FALSE,0.720464514334801,0.0198445170588185,0.848682775360486,0.0599649537212125,-0.145166814490685,-1.02684600208774
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Flavonifractor",FALSE,FALSE,0.503667822745674,0.477779824342619,0.654297451978026,0.644770830908971,0.267039331733311,-0.300676213139467
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Intestinimonas",FALSE,TRUE,0.057404338366126,0.0128804577659527,0.139986018120904,0.0426135623742966,-0.797367362163704,-1.13288486791427
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|NK4A214_group",FALSE,FALSE,0.461040035763803,0.467703341116935,0.616197740107391,0.638522319754986,-0.295192064357165,-0.309543837373105
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Oscillibacter",FALSE,FALSE,0.295700539957078,0.893535268565514,0.440593194214472,0.926876136795571,-0.446513927902828,-0.0593703123788787
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-002",FALSE,TRUE,0.0450003150432903,0.00100998722341528,0.120289303673411,0.00539954707902785,-0.788047045706335,-1.41908584519024
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-005",FALSE,FALSE,0.268347917330928,0.99041958165306,0.405438701184771,0.991443208559537,0.445102909464266,0.00506992471136162
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae",FALSE,FALSE,0.29795510975655,0.972385563945111,0.440593194214472,0.986580973637741,0.444888936891229,0.0159658858229392
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerofilum",TRUE,FALSE,0.00334153580360486,0.133966696109848,0.0165883384536098,0.262272827595336,-1.24260552966373,-0.646253796631787
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerotruncus",FALSE,FALSE,0.714648881127565,0.749695555372216,0.848682775360486,0.847216928428765,0.149071676770984,0.138173840562601
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|DTU089",TRUE,TRUE,0.000562109582869397,0.00644510549215524,0.00372063009613553,0.0235755174581468,1.48851719532727,1.232233406751
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Faecalibacterium",TRUE,FALSE,0.00192612183550566,0.027557802749075,0.0111554556306369,0.0722742373985174,-1.54416252667413,-1.16031332247379
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Incertae_Sedis",FALSE,FALSE,0.0831988834159756,0.415004454878553,0.183565790393978,0.591704644820977,0.754706578004705,0.380344365504559
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Negativibacillus",FALSE,FALSE,0.140248709422207,0.595894843729244,0.256507508022194,0.733003391843937,-0.603671600421675,-0.226016813888879
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Paludicola",FALSE,FALSE,0.0180917380633831,0.031788361669903,0.0679662592110879,0.0803378594930275,0.962034240492024,0.94121201670773
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus",TRUE,TRUE,3.10563174261265e-06,0.0004894351480595,5.39603515278949e-05,0.00340157427901352,-2.22394783447535,-1.69668241887981
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Subdoligranulum",TRUE,TRUE,0.000138982072214373,8.08669996650526e-07,0.00113638282575281,2.24810259068846e-05,-1.60500011691787,-2.253850111483
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|UBA1819",FALSE,FALSE,0.854963155202955,0.416819199901316,0.928436551353209,0.591704644820977,-0.0856077674617361,-0.405563681587128
"Bacteria|Firmicutes|Clostridia|Oscillospirales|UCG-010|UCG-010",FALSE,TRUE,0.568526920615788,0.0137872674684488,0.711939116807159,0.0426135623742966,-0.225682265678447,-1.07921610247799
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_brachy_group",FALSE,FALSE,0.0540119771579748,0.698116030659287,0.139030830091824,0.808651068847007,-0.8018002094864,0.167416155764359
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_nodatum_group",FALSE,FALSE,0.161041367185168,0.417173058938531,0.289717092575577,0.591704644820977,0.566729231743203,0.350973164334388
